,,,,,,,
Material Type,Name,Concentration,Amount,Location,SDS,Notes,Instrument
Acid,Hydrochloric,0.005 M,450 mL,327,1,,
Acid,Hydrochloric,0.05 M,400 mL,327,1,,
Acid,Hydrochloric,0.10 M,1300 mL,327,1,,
Acid,Hydrochloric,0.30 M,1 L,327,1,,
Acid,Hydrochloric,0.50 M,700 mL,327,1,,
Acid,Hydrochloric,1.0 M,3800 mL,327,1,,
Acid,Hydrochloric,3.0 M,400 mL,327,1,,
Acid,Hydrochloric,6.0 M,100 mL,327,1,,
Acid,Hydrochloric,Concentrated,9 L,327,1,,
Acid,Acetic,0.10 M,8800 mL,327,1,,
Acid,Acetic,1.0 M,2.2 L,327,1,,
Acid,Acetic,4.0 M,15 mL,327,1,,
Acid,Acetic,5%,600 mL,327,1,,
Acid,Acetic,10%,800 mL,327,1,,
Acid,Acetic,Concentrated,2 L,327,1,,
Acid,Chloroacetic,0.10 M,50 mL,327,0,,
Acid,Chloroacetic,50%,300 mL,327,0,,
Acid,Trifluoroacetic,?,600 mL,327,1,,
Acid,Trichloroacetic,50%,50 mL,327,1,,
Acid,Nitric,1.0 M,350 mL,325,1,,
Acid,Nitric,6.0 M,450 mL,325,1,,
Acid,Nitric,8.0 M,100 mL,325,1,,
Acid,Nitric,50%,200 mL,325,1,,
Acid,Nitric,Concentrated,12 L,325,1,,
Acid,Phosphoric,Concentrated,3.0 L,325,1,,
Acid,Hydrobromic,1.0 M,1300 mL,325,0,,
Acid,Hydrobromic,48%,650 mL,325,0,,
Acid,Formic,88%,300 mL,325,1,,
Acid,Sulfuric,0.1000 M,24 L,323,1,,
Acid,Sulfuric,1.0 M,1800 mL,323,1,,
Acid,Sulfuric,6 M,2.5 L,323,1,,
Acid,Sulfuric,10%,750 mL,323,1,,
Acid,Sulfuric,Concentrated,8.5 L,323,1,,
Acid,Perchloric,60%,1 L,323,0,,
Acid,Perchloric,70%,500 mL,323,0,,
Instrumental Chemical,Acetonitrile,99.90%,5 L,310,1,,HPLC
Instrumental Chemical,n-Hexane,95%,3 L,310,1,,HPLC
Instrumental Chemical,Methanol,99.90%,3 L,310,1,,HPLC
Instrumental Chemical,2-Propanol,99.90%,1 L,310,1,,HPLC
Instrumental Chemical,Water,Chromasolv,250 mL,310,1,,HPLC
Flammables,Acetaldehyde,99%,80 mL,Prep Room,1,,
Flammables,Acetylacetone,99%,20 mL,Prep Room,1,,
Flammables,n-Amyl Acetate,95%,20 mL,Prep Room,1,,
Flammables,Anisole,95%,100 mL,Prep Room,1,,
Flammables,Benzene,95%,1530 mL,Prep Room,1,,
Flammables,Bromobenzene,99%,1000 mL,Prep Room,1,,
Flammables,1-Bromobutane,99%,300 mL,Prep Room,1,,
Flammables,2-Bromobutane,98%,50 mL,Prep Room,1,,
Flammables,2-Bromo-2-methylpropane,96%,160 mL,Prep Room,1,,
Flammables,2-Bromopropane,99%,200 mL,Prep Room,1,,
Flammables,Bromotoluene,95%,5 mL,Prep Room,1,,
Flammables,tert-Butanol,99%,500 mL,Prep Room,1,,
Flammables,tert-Butyl Chloride,95%,100 mL,Prep Room,1,,
Flammables,tert-Butyl Methyl Ether,99%,1300 mL,Prep Room,1,,
Flammables,Chlorobenzene,99%,1000 mL,Prep Room,1,,
Flammables,1-Chlororbutane,99%,1700 mL,Prep Room,1,,
Flammables,2-Chlorobutane,99%,300 mL,Prep Room,1,,
Flammables,2-Chloro-2-methylpropane,99%,600 mL,Prep Room,1,,
Flammables,Cyclohexane,99%,3 L,Prep Room,1,,
Flammables,Cyclohexanol,99%,550 mL,Prep Room,1,,
Flammables,Cyclohexanone,99%,1400 mL,Prep Room,1,,
Flammables,Cyclohexene,99%,1100 mL,Prep Room,1,,
Flammables,"1,2-Dibromopropane",99%,80 mL,Prep Room,1,,
Flammables,Dichlorodimethylsilane,99%,800 mL,Prep Room,1,,
Flammables,Dichloromethane,99%,2.5 L,Prep Room,1,,
Flammables,Dicyclopentadiene,95%,1200 mL,Prep Room,1,,
Flammables,Diethyl Malonate,99%,250 mL,Prep Room,1,,
Flammables,"N,N-Dimethyl Aniline",95%,300 mL,Prep Room,1,,
Flammables,Dinitrophenylhydrazine,Solid,20 g,Prep Room,1,,
Flammables,Dinitrophenylhydrazine,Solution,50 mL,Prep Room,1,,
Flammables,"1,4-Dioxane",99%,600 mL,Prep Room,1,,
Flammables,Ethanol,200 Proof,800 mL,Prep Room,1,,
Flammables,Ethyl Acetate,99%,300 mL,Prep Room,1,,
Flammables,Ethyl Acetoacetate,99%,50 mL,Prep Room,1,,
Flammables,Ethyl Benzoylacetate,99%,150 mL,Prep Room,1,,
Flammables,Ethyl Ether,99%,2 L,Prep Room,1,,
Flammables,Ethyl Formate,97%,500 mL,Prep Room,1,,
Flammables,Ethylenediamine,99%,900 mL,Prep Room,1,,
Flammables,4-Fluorophenylmagnesium Bromide,1.0 M,100 mL,Prep Room,1,,
Flammables,Heptaldehyde,95%,60 mL,Prep Room,1,,
Flammables,n-Heptane,99%,150 mL,Prep Room,1,,
Flammables,2-Heptanone,99%,50 mL,Prep Room,1,,
Flammables,3-Heptanone,98%,60 mL,Prep Room,1,,
Flammables,1-Heptyne,98%,80 mL,Prep Room,1,,
Flammables,Hexane,95%,1 L,Prep Room,1,,
Flammables,1-Hexene,97%,600 mL,Prep Room,1,,
Flammables,Hexylamine,99%,40 mL,Prep Room,1,,
Flammables,2-Iodo-2-methylpropane,95%,5 mL,Prep Room,1,,
Flammables,Isoborneol,Solid,500 g,Prep Room,1,,
Flammables,Isobutyl Alcohol,95%,400 mL,Prep Room,1,,
Flammables,Isopentyl Alcohol,95%,60 mL,Prep Room,1,,
Flammables,Isopropyl Alcohol,95%,2 L,Prep Room,1,,
Flammables,(R)-(+)-Limonene,97%,80 mL,Prep Room,1,,
Flammables,Lycopodium Powder,Solid,20 g,Prep Room,1,,
Flammables,2-Methyl-2-Butanol,95%,50 mL,Prep Room,1,,
Flammables,Methyl Ethyl Ketone,95%,1250 mL,Prep Room,1,,
Flammables,Ninhydrin,0.30%,10 mL,Prep Room,1,,
Flammables,Nonane,99%,1000 mL,Prep Room,1,,
Flammables,Octane,98%,2 L,Prep Room,1,,
Flammables,1-Octene,98%,20 mL,Prep Room,1,,
Flammables,trans-2-Octene,97%,1 mL,Prep Room,1,,
Flammables,2-Octyne,97%,1 mL,Prep Room,1,,
Flammables,Pentane,99%,4 L,Prep Room,1,,
Flammables,3-Pentanone,98%,200 mL,Prep Room,1,,
Flammables,Phenol,89%,1.5 L,Prep Room,1,,
Flammables,Piperidine,99%,800 mL,Prep Room,1,,
Flammables,n-Propanol,95%,200 mL,Prep Room,1,,
Flammables,Propionic Acid,99%,100 mL,Prep Room,1,,
Flammables,Sodium Borohydride,Solid,40 g,Prep Room,1,,
Flammables,Tetrachloroethylene,99%,450 mL,Prep Room,1,,
Flammables,Tetrahydrofuran,99%,150 mL,Prep Room,1,,
Flammables,Toluene,99%,3.9 L,Prep Room,1,,
Flammables,"1,2,3-Tribromopropane",97%,90 g,Prep Room,1,,
Flammables,"1,2,4-Trichlorobeneze",99%,600 mL,Prep Room,1,,
Flammables,Trichloroethylene,99%,300 mL,Prep Room,1,,
Flammables,Triethylamine,99%,1200 mL,Prep Room,1,,
Flammables,Triethyl Orthoformate,98%,200 mL,Prep Room,1,,
Flammables,Triethylsilane,99%,100 g,Prep Room,1,,
Flammables,m-Xylene,99%,10 mL,Prep Room,1,,
Flammables,o-Xylene,96%,800 mL,Prep Room,1,,
Flammables,p-Xylene,99%,30 mL,Prep Room,1,,
Flammables,n-Butanol,99%,8 L,327,1,,
Flammables,tert-Butanol,99%,1400 mL,327,1,,
Flammables,tert-Butyl Methyl Ether,99%,250 mL,327,1,,
Flammables,Ethylene Glycol ,99%,200 mL,327,1,,
Flammables,Ethylene Glycol Dimethyl Ether,99%,300 mL,327,1,,
Flammables,n-Propyl Alcohol,99%,2 L,327,1,,
Flammables,tert-Amyl Alcohol,99%,1.5 L,327,1,,
Flammables,sec-Butanol,99%,2 L,327,1,,
Flammables,Methanol,95%,6 L,327,1,,
Flammables,Reagent Alcohol,95%,10 L,327,1,,
Flammables,Ethyl Acetate,99%,1200 mL,325,1,,
Flammables,Toluene,99%,3200 mL,325,1,,
Flammables,Methyl Ethyl Ketone,99%,3 L,325,1,,
Flammables,Reagent Alcohol,95%,2 L,325,1,,
Flammables,Chloroform,99%,1 L,325,1,,
Flammables,Petroleum Ether,99%,1800 mL,325,1,,
Flammables,Acetone,99%,3500 mL,325,1,,
Flammables,Cyclohexane,99%,3500 mL,325,1,,
Flammables,Ethyl Ether,99%,1600 mL,325,1,,
Flammables,Methanol,95%,1300 mL,325,1,,
Flammables,Tetrahydrofuran,99%,200 mL,325,1,,
Flammables,Xylenes,95%,200 mL,325,1,,
Flammables,Acetone,95%,7 L,308,1,,
Flammables,Isopropyl Alcohol,95%,2.5 L,308,1,,
Flammables,Toluene,99%,2800 mL,308,1,,
Flammables,Xylenes,Mixed,1100 mL,308,1,,
Flammables,Acetone,99%,8 L,310,1,,
Flammables,Dicyclopentadiene,95%,1 L,310,1,,
Flammables,"N,N-Dimethylformamide",100%,4 L,310,1,,
Flammables,Gasoline,E85,2 L,310,1,,
Flammables,Kerosine,,7 L,310,1,,
Non-Flammable Organics,Acetone,Pure,300 mL,Prep Room,1,,
Non-Flammable Organics,Acetone,4.00 M,3.3 L,Prep Room,1,,
Non-Flammable Organics,Acetone:Water,50%,400 mL,Prep Room,1,,
Non-Flammable Organics,Acetone,10%,450 mL,Prep Room,1,,
Non-Flammable Organics,Acetic Anhydride,98%,1 L,Prep Room,1,,
Non-Flammable Organics,Acetylferrocene,95%,15 g,Prep Room,1,,
Non-Flammable Organics,Acetylsalicylic Acid,99%,600 g,Prep Room,1,,
Non-Flammable Organics,Acetanilide,97%,200 g,Prep Room,1,,
Non-Flammable Organics,4-Acetamidophenol,98%,60 g,Prep Room,1,,
Non-Flammable Organics,Acetophenone,99%,30 mL,Prep Room,1,,
Non-Flammable Organics,p-Acetophenetidide,97%,80 g,Prep Room,1,,
Non-Flammable Organics,Adipic Acid,99%,300 g,Prep Room,1,,
Non-Flammable Organics,3-Aminobenzoic Acid,98%,15 g,Prep Room,1,,
Non-Flammable Organics,4-Aminophenyl Sulfone,97%,350 g,Prep Room,1,,
Non-Flammable Organics,Aliquat 336,-,125 mL,Prep Room,1,,
Non-Flammable Organics,Aniline,?,400 mL,Prep Room,1,,
Non-Flammable Organics,9-Anthraldehyde,97%,15 g,Prep Room,1,,
Non-Flammable Organics,Anthracene,97%,250 g,Prep Room,1,,
Non-Flammable Organics,9-Anthracenecarboxaldehyde,97%,60 g,Prep Room,1,,
Non-Flammable Organics,Benzaldehyde,98%,750 mL,Prep Room,1,,
Non-Flammable Organics,Benzamide,99%,400 g,Prep Room,1,,
Non-Flammable Organics,Benzyl Chloride,97%,1 L,Prep Room,1,,
Non-Flammable Organics,Benzyltriethylammonium Chloride,99%,800 g,Prep Room,1,,
Non-Flammable Organics,Benzyltriphenylphosphonium Chloride,99%,5 g,Prep Room,1,,
Non-Flammable Organics,Benzonitrile,?,350 mL,Prep Room,1,,
Non-Flammable Organics,Benzoic Acid,99%,600 g,Prep Room,1,,
Non-Flammable Organics,Benzophenone,99%,750 g,Prep Room,1,,
Non-Flammable Organics,Benzoyl Peroxide,97%,40 g,Prep Room,1,,
Non-Flammable Organics,Boric Acid,99%,300 g,Prep Room,1,,
Non-Flammable Organics,Bromobenzene,-,70 mL,Prep Room,1,,
Non-Flammable Organics,2-Bromoethanol,95%,100 g,Prep Room,1,,
Non-Flammable Organics,2-Bromo-2-methylpropane,96%,100 mL,Prep Room,1,,
Non-Flammable Organics,1-Bromopropane,99%,250 mL,Prep Room,1,,
Non-Flammable Organics,2-Bromopropane,99%,250 mL,Prep Room,0,,
Non-Flammable Organics,1-Butanol,99%,9 L,Prep Room,1,,
Non-Flammable Organics,t-Butanol,99%,500 mL,Prep Room,1,,
Non-Flammable Organics,Butyraldehyde,99%,4 L,Prep Room,1,,
Non-Flammable Organics,Caffeine,Solid,70 g,Prep Room,1,,
Non-Flammable Organics,(1R)-(+)-Camphor,98%,50 g,Prep Room,1,,
Non-Flammable Organics,2-Carboxybenzaldehyde,Solid,40 g,Prep Room,1,,
Non-Flammable Organics,Carnitine Hydrochloride,98%,100 g,Prep Room,1,,
Non-Flammable Organics,Chloroacetic Acid,99%,1200 g,Prep Room,1,,
Non-Flammable Organics,"1-Chloro-9,10-bis(phenylethynyl)anthracene",99%,0.100 g,Prep Room,1,,
Non-Flammable Organics,"4-Chloro-2,6-dimethylphenol",98%,8 g,Prep Room,1,,
Non-Flammable Organics,trans-Cinnamaldehyde,99%,200 g,Prep Room,1,,
Non-Flammable Organics,trans-Cinnamic Acid,97%,180 g,Prep Room,1,,
Non-Flammable Organics,Citric Acid Anhydrous,Solid,1600 g,Prep Room,1,,
Non-Flammable Organics,Citric Acid Trisodium Dihydrate,Solid,1000 g,Prep Room,1,,
Non-Flammable Organics,Citric Acid,10%,400 mL,Prep Room,1,,
Non-Flammable Organics,Cotton Seed Oil,-,3.5 L,Prep Room,1,,
Non-Flammable Organics,o-Cresol,99%,300 mL,Prep Room,1,,
Non-Flammable Organics,m-Cresol,99%,150 mL,Prep Room,1,,
Non-Flammable Organics,2-Cyanoacetamide,99%,500 g,Prep Room,1,,
Non-Flammable Organics,Cyanuric Acid Anhydrous,98%,80 g,Prep Room,1,,
Non-Flammable Organics,Cyclohexanecarboxylic Acid,98%,80 mL,Prep Room,1,,
Non-Flammable Organics,Cyclohexanol,99%,1 L,Prep Room,1,,
Non-Flammable Organics,Cyclohexanone,99%,100 mL,Prep Room,1,,
Non-Flammable Organics,Decanoic Acid,Solid,80 g,Prep Room,1,,
Non-Flammable Organics,D.E.R. 332 Epoxy Resin,-,3000 mL,Prep Room,1,,
Non-Flammable Organics,"1,6-Diaminohexane",98%,50 g,Prep Room,1,,
Non-Flammable Organics,"2,4-Dichlorobenzoic Acid",98%,100 g,Prep Room,1,,
Non-Flammable Organics,Dichloromethane,99%,3.5 L,Prep Room,1,,
Non-Flammable Organics,Diethyl Phthalate,99.50%,500 mL,Prep Room,1,,
Non-Flammable Organics,"3,4-Dihydro-2H-pyran",97%,10 mL,Prep Room,1,,
Non-Flammable Organics,"2,4-Dihydroxyacetophenone",Solid,45 g,Prep Room,1,,
Non-Flammable Organics,"N,N-Diisopropylethylamine",98%,15 mL,Prep Room,1,,
Non-Flammable Organics,"1,4-Dimethyoxybenzene",99%,600 g,Prep Room,1,,
Non-Flammable Organics,"3,4-Dimethoxybenzoic Acid",99%,60 g,Prep Room,1,,
Non-Flammable Organics,"2,6-Dimethylaniline",99%,30 mL,Prep Room,1,,
Non-Flammable Organics,"N,N-Dimethylaniline",99%,1700 mL,Prep Room,1,,
Non-Flammable Organics,"N,N-Dimethylformamide",99%,1 L,Prep Room,1,,
Non-Flammable Organics,"2,6-Dimethylphenol",99%,400 g,Prep Room,1,,
Non-Flammable Organics,"3,5-Dinitrosalicylic Acid",98%,70 g,Prep Room,1,,
Non-Flammable Organics,Diphenylamine,99%,100 g,Prep Room,1,,
Non-Flammable Organics,Diphenylmethane,?,150 mL,Prep Room,1,,
Non-Flammable Organics,Docosane,99%,20 g,Prep Room,1,,
Non-Flammable Organics,EDTA,99%,700 g,Prep Room,1,,
Non-Flammable Organics,Ethanolamine,99%,600 mL,Prep Room,1,,
Non-Flammable Organics,4-Ethoxyaniline,98%,300 mL,Prep Room,1,,
Non-Flammable Organics,Ethyl Acetate,95%,4 L,Prep Room,1,,
Non-Flammable Organics,4-Ethylbenzoic Acid,99%,3 g,Prep Room,1,,
Non-Flammable Organics,Ethylene Glycol,95%,500 mL,Prep Room,1,,
Non-Flammable Organics,Ethylene Glycol Diethyl Ether,98%,25 mL,Prep Room,1,,
Non-Flammable Organics,Ethylene Glycol Dimethyl Ether,99%,200 mL,Prep Room,1,,
Non-Flammable Organics,Ethylenediaminetetraacetic acid,99%,120 g,Prep Room,1,,
Non-Flammable Organics,Ethynylestra Diol,Solid,5 g,Prep Room,1,,
Non-Flammable Organics,Fehlings B,?,200 mL,Prep Room,1,,
Non-Flammable Organics,Ferrocene,98%,500 g,Prep Room,1,,
Non-Flammable Organics,Fluorescein,Solid,50 g,Prep Room,1,,
Non-Flammable Organics,Fmoc-Gly-Wang Resin,Solid,3 g,Prep Room,1,,
Non-Flammable Organics,Formaldehyde,37%,15 mL,Prep Room,1,,
Non-Flammable Organics,Fullerene,99%,5 g,Prep Room,1,,
Non-Flammable Organics,Fumaric Acid,99%,400 g,Prep Room,1,,
Non-Flammable Organics,Gallium-Indium Eutectic,99.99%,4 g,Prep Room,1,,
Non-Flammable Organics,Glycerol,95%,4.3 L,Prep Room,1,,
Non-Flammable Organics,Guar Gum,95%,6 g,Prep Room,1,,
Non-Flammable Organics,Hexamethylenediamine,80-95%,100 g,Prep Room,1,,
Non-Flammable Organics,Hexyl Alcohol,98%,1 L,Prep Room,1,,
Non-Flammable Organics,Hydrazine,1.0 M,500 mL,Prep Room,1,,
Non-Flammable Organics,Hydroquinone,99%,150 g,Prep Room,1,,
Non-Flammable Organics,Hydroxybenzotriazole Hydrate,20%,20 g,Prep Room,1,,
Non-Flammable Organics,8-Hydroxyquinone,?,250 mL,Prep Room,0,,
Non-Flammable Organics,Imidazole,99%,250 g,Prep Room,1,,
Non-Flammable Organics,IonLic DMII,Solid,1 g,Prep Room,0,,
Non-Flammable Organics,4-Isopropylbenzoic Acid,98%,4.5 g,Prep Room,1,,
Non-Flammable Organics,"4,4-Isopropylidenediphenol",97%,60 g,Prep Room,1,,
Non-Flammable Organics,Lauric Acid,Solid,20 g,Prep Room,1,,
Non-Flammable Organics,L-Leucine,Solid,8 g,Prep Room,1,,
Non-Flammable Organics,Luminol,Solid,3 g,Prep Room,1,,
Non-Flammable Organics,Maleic Acid,Solid,600 g,Prep Room,1,,
Non-Flammable Organics,Maleic Anhydride,Solid,2000 g,Prep Room,1,,
Non-Flammable Organics,Malonic Acid,99%,150 g,Prep Room,1,,
Non-Flammable Organics,Malonic Acid in KBr,?,1 L,Prep Room,1,,
Non-Flammable Organics,Melamine,99%,900 g,Prep Room,1,,
Non-Flammable Organics,4-Methoxybenzaldehyde,98%,80 mL,Prep Room,1,,
Non-Flammable Organics,2-Methoxyethyl Ether,99%,1100 mL,Prep Room,1,,
Non-Flammable Organics,Mesitylene,97%,200 mL,Prep Room,1,,
Non-Flammable Organics,Methyl Benzoate,99%,3.6 L,Prep Room,1,,
Non-Flammable Organics,3-Methyl-3-Pentanol,99%,300 mL,Prep Room,1,,
Non-Flammable Organics,1-Methyl-2-Pyrrolidinone,99%,40 mL,Prep Room,1,,
Non-Flammable Organics,Methyl Salicylate,98%,1200 mL,Prep Room,1,,
Non-Flammable Organics,2-Methylcyclohexanol,99%,800 mL,Prep Room,1,,
Non-Flammable Organics,N-Methylpyrrolidinone,?,200 mL,Prep Room,1,,
Non-Flammable Organics,Mineral Oil,95%,2 L,Prep Room,1,,
Non-Flammable Organics,1:1 Methanol:Water,50%,2.5 L,Prep Room,1,,
Non-Flammable Organics,Myristic Acid,Solid,50 g,Prep Room,1,,
Non-Flammable Organics,Napthalene,Solid,1 kg,Prep Room,1,,
Non-Flammable Organics,1-Naphthoic Acid,96%,70 g,Prep Room,1,,
Non-Flammable Organics,Alpha-Naphthol,Solid,400 g,Prep Room,1,,
Non-Flammable Organics,Beta-Naphthol,99%,1200 g,Prep Room,1,,
Non-Flammable Organics,1-Naphthylamine,99%,80 g,Prep Room,1,,
Non-Flammable Organics,4'-Nitroacetophenone,98%,80 g,Prep Room,1,,
Non-Flammable Organics,4-Nitroaniline,99%,400 g,Prep Room,1,,
Non-Flammable Organics,p-Nitroanisole,Solid,60 g,Prep Room,1,,
Non-Flammable Organics,p-Nitrobenzaldehyde,Solid,15 g,Prep Room,1,,
Non-Flammable Organics,4-Nitrophenol,99%,80 g,Prep Room,1,,
Non-Flammable Organics,4-(Nitrophenylazo) Resorcinol,Solid,4 g,Prep Room,1,,
Non-Flammable Organics,1-Octanol,99%,400 mL,Prep Room,1,,
Non-Flammable Organics,2-Octanone,98%,10 g,Prep Room,1,,
Non-Flammable Organics,Oxalic Acid,98%,400 g,Prep Room,1,,
Non-Flammable Organics,Oxalyl Chloride,98%,100 g,Prep Room,1,,
Non-Flammable Organics,Palmitic Acid,Solid,25 g,Prep Room,1,,
Non-Flammable Organics,Paraffin Wax,Solild,9 blocks,Prep Room,1,,
Non-Flammable Organics,Peanut Oil,Household,1/8 of a gallon,Prep Room,1,,
Non-Flammable Organics,"9,10-Phenanthrenequinone",95%,15 g,Prep Room,1,,
Non-Flammable Organics,"1,10-Phenanthroline",99%,30 g,Prep Room,1,,
Non-Flammable Organics,sec-Phenethyl Alcohol,98%,10 g,Prep Room,1,,
Non-Flammable Organics,Phenol,Solid,350 g,Prep Room,1,,
Non-Flammable Organics,Phenylacetic Acid,99%,50 g,Prep Room,1,,
Non-Flammable Organics,4-Phenylthiosemicarbazide,99%,8 g,Prep Room,1,,
Non-Flammable Organics,Phosphazene base,97%,3 mL,Prep Room,1,,
Non-Flammable Organics,Phosphomolybdic Acid,Solid,100 g,Prep Room,1,,
Non-Flammable Organics,Phthalate Acid,Solid,400 g,Prep Room,1,,
Non-Flammable Organics,Polyvinyl Alcohol,99%,2 kg,Prep Room,1,,
Non-Flammable Organics,Polyvinyl Alcohol,Solution,450 mL,Prep Room,1,,
Non-Flammable Organics,Ponceau S Solution,5%,800 mL,Prep Room,1,,
Non-Flammable Organics,Priopiophenone,99%,750 g,Prep Room,1,,
Non-Flammable Organics,4-Propylbenzoic Acid,97%,0.50 g,Prep Room,1,,
Non-Flammable Organics,Pyridine,Solution,1 L,Prep Room,1,,
Non-Flammable Organics,Pyridinium Tribromide,90%,400 g,Prep Room,1,,
Non-Flammable Organics,Salicylic Acid,Solid,400 g,Prep Room,1,,
Non-Flammable Organics,Sebacoyl Chloride,97%,100 g,Prep Room,1,,
Non-Flammable Organics,Semicarbazide Hydrochloride,99%,50 g,Prep Room,1,,
Non-Flammable Organics,Sorbic Acid,99%,50 g,Prep Room,1,,
Non-Flammable Organics,Stearic Acid,99%,30 g,Prep Room,1,,
Non-Flammable Organics,trans-Stilbene,96%,150 g,Prep Room,1,,
Non-Flammable Organics,Succinimide,Solid,800 g,Prep Room,1,,
Non-Flammable Organics,Sucrose,Solid,1500 g,Prep Room,1,,
Non-Flammable Organics,Sulfanilic Acid,99%,140 g,Prep Room,1,,
Non-Flammable Organics,Sulfonic Acid,Solid,40 g,Prep Room,1,,
Non-Flammable Organics,Tartaric Acid,Solid,600 g,Prep Room,1,,
Non-Flammable Organics,p-Terphenyl,99%,20 g,Prep Room,1,,
Non-Flammable Organics,Tetrabutylammoniumhydroxide,25%,125 mL,Prep Room,1,,
Non-Flammable Organics,Tetrachloroethylene,95%,3 L,Prep Room,1,,
Non-Flammable Organics,Theopylline,Solid,80 g,Prep Room,1,,
Non-Flammable Organics,Thioacetamide,Solid,120 g,Prep Room,1,,
Non-Flammable Organics,Thioacetamide,1.0 M,200 mL,Prep Room,1,,
Non-Flammable Organics,Tocopherol,40%,20 g,Prep Room,1,,
Non-Flammable Organics,p-Tolualdehyde,97%,40 mL,Prep Room,1,,
Non-Flammable Organics,m-Toluic Acid,99%,80 g,Prep Room,1,,
Non-Flammable Organics,o-Toluic Acid,99%,40 g,Prep Room,1,,
Non-Flammable Organics,p-Toluidine,99.70%,800 g,Prep Room,1,,
Non-Flammable Organics,"2,4,6-Trichlorophenol",98%,600 g,Prep Room,1,,
Non-Flammable Organics,Triethylene Glycol,99%,1600 mL,Prep Room,1,,
Non-Flammable Organics,"Trimethyl 1,3,5-benzenetricarboxylate",98%,5 g,Prep Room,1,,
Non-Flammable Organics,Triphenylmethanol,97%,40 g,Prep Room,1,,
Non-Flammable Organics,Triphenylphospine,99%,80 g,Prep Room,1,,
Non-Flammable Organics,Tween 80,58%,450 mL,Prep Room,1,,
Non-Flammable Organics,Undecanoic Acid,Solid,8 g,Prep Room,1,,
Non-Flammable Organics,Urea,100%,300 g,Prep Room,1,,
Biochem,Adenine,Solid,5 g,Prep Room,1,,
Biochem,Alpha Alanine,Solid,8 g,Prep Room,1,,
Biochem,Beta Alanine,Solid,2 g,Prep Room,1,,
Biochem,Albumin,Solid,1 g,Prep Room,1,,
Biochem,Aminoacetic Acid,Solid,1 g,Prep Room,1,,
Biochem,L-Arginine,Solid,10 g,Prep Room,1,,
Biochem,L-Ascorbic Acid,Solid,200 g,Prep Room,1,,
Biochem,L-Asparagine,Solid,2 g,Prep Room,1,,
Biochem,DL Aspartic Acid,Solid,1.5 g,Prep Room,1,,
Biochem,Bathophenanthroline,Solid,3 g,Prep Room,1,,
Biochem,Bio-Gel HT,Solid,600 g,Prep Room,1,,
Biochem,Brilliant Blue R,55%,25 g,Prep Room,1,,
Biochem,CM Cellulose,Solid,300 g,Prep Room,1,,
Biochem,DEAE Cellulose,Solid,150 g,Prep Room,1,,
Biochem,MN-Cellulose,Solid,300 g,Prep Room,1,,
Biochem,L Cystine,Solid,2 g,Prep Room,1,,
Biochem,L Cystine Hydrochloride,Solid,20 g,Prep Room,1,,
Biochem,Dextran 10,Solid,50 g,Prep Room,1,,
Biochem,Dextran T20,Solid,50 g,Prep Room,1,,
Biochem,Dextran T40,Solid,40 g,Prep Room,1,,
Biochem,Dextran T110 ,Solid,60 g,Prep Room,1,,
Biochem,Dextrine,Solid,500 g,Prep Room,1,,
Biochem,D-Fructose,98%,5000 g,Prep Room,1,,
Biochem,Gentian Violet,Solid,20 g,Prep Room,1,,
